"ID","From (cm) >","To (cm) <="
1,0,19.3
2,19.3,38.6
3,38.6,77.5
4,77.5,116.1
5,116.1,154.9
6,154.9,193.5
7,193.5,232.2
8,232.2,271
9,271,309.6
10,309.6,
