Plot ID,Tree ID,Species Name,DBH (in),Height (ft),Crown Height (ft),Crown Width (ft),Canopy Cover (ft^2),Tree Condition,Leaf Area (ft^2),Leaf Biomass (lb),Leaf Area Index,Basal Area (ft^2),Street Tree,Native to State
21,1,Black olive,8.4,32.2,24.9,30.0,708.6,GOOD,"2,145.7",56.9,3.0,0.387,NO,NO
22,1,African tulip tree,2.2,15.1,6.2,3.9,12.2,EXCELLENT,20.2,0.3,1.7,0.027,NO,NO
24,2,Birdcherry,2.1,5.0,4.0,2.0,3.0,EXCELLENT,4.9,0.1,1.6,0.024,NO,NO
24,4,Birdcherry,1.0,5.5,3.2,2.3,4.1,EXCELLENT,3.3,0.1,0.8,0.005,NO,NO
24,6,Birdcherry,1.3,6.5,4.6,2.6,5.4,EXCELLENT,7.0,0.2,1.3,0.010,NO,NO
24,7,Caribbean trumpet-tree,1.9,7.9,2.0,5.2,21.6,GOOD,7.3,0.1,0.3,0.020,NO,NO
25,1,Manila,7.1,11.5,5.6,4.3,14.8,GOOD,13.5,0.5,0.9,0.274,NO,NO
25,2,Mango,48.4,31.8,9.8,23.1,420.2,GOOD,"1,567.7",31.3,3.7,12.794,NO,NO
25,3,Fig spp,7.9,13.1,1.0,3.1,7.6,GOOD,7.7,0.1,1.0,0.338,NO,NO
26,1,Haitian catalpa,5.6,16.7,5.6,12.1,115.7,FAIR,203.6,2.5,1.8,0.173,NO,NO
26,2,Fig spp,5.8,15.4,4.3,14.3,160.0,CRITICAL,94.0,1.5,0.6,0.184,NO,NO
26,3,Black olive,1.1,37.4,21.0,18.7,274.7,CRITICAL,220.9,5.9,0.8,0.007,NO,NO
26,4,Black olive,11.1,46.3,31.5,28.2,625.3,FAIR,"2,063.4",54.7,3.3,0.668,YES,NO
26,5,Haitian catalpa,6.2,22.0,19.4,10.8,92.1,CRITICAL,65.3,0.8,0.7,0.210,YES,NO
109,1,Shaddock,3.5,12.1,10.2,8.5,56.9,GOOD,105.1,2.9,1.8,0.065,NO,NO
109,2,Puerto rico royal palm,11.5,53.5,15.7,17.9,252.9,GOOD,458.2,15.7,1.8,0.726,NO,NO
109,3,Black olive,6.5,30.2,25.6,22.3,390.9,GOOD,"1,094.9",29.0,2.8,0.233,NO,NO
109,4,Singapore graveyard flower,3.0,9.8,3.6,2.6,5.4,EXCELLENT,6.8,0.2,1.3,0.048,NO,NO
109,5,Manila,2.4,7.5,5.2,6.9,37.3,EXCELLENT,17.8,0.6,0.5,0.030,NO,NO
109,7,Manila,6.0,11.8,3.9,10.0,78.6,EXCELLENT,39.1,1.3,0.5,0.195,YES,NO
109,8,Manila,5.1,14.8,8.9,7.9,48.7,EXCELLENT,53.9,1.9,1.1,0.143,YES,NO
109,9,Guasuiririba,3.5,13.1,12.5,9.5,70.9,GOOD,61.7,1.9,0.9,0.065,YES,NO
109,10,Manila,5.5,9.2,3.6,7.2,40.9,EXCELLENT,31.3,1.1,0.8,0.166,YES,NO
109,11,White lead tree,20.2,38.7,24.9,27.2,582.4,GOOD,"2,973.2",52.6,5.1,2.217,YES,NO
109,12,Shaddock,2.8,13.5,5.9,8.7,60.0,GOOD,64.1,1.8,1.1,0.041,NO,NO

