Plot ID,Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
22,1,African tulip tree,2.2,21.87,4.6,0.30,5.4,0.36,0.0,0.00,,,0.1,0.01,,0.37
24,2,Birdcherry,2.1,70.91,11.7,0.78,13.5,0.90,0.0,0.00,,,0.0,0.00,,0.90
24,4,Birdcherry,1.0,69.68,2.0,0.13,6.0,0.40,0.0,0.00,,,0.0,0.00,,0.40
24,6,Birdcherry,1.3,69.68,4.1,0.27,8.2,0.55,0.0,0.00,,,0.0,0.00,,0.55
24,7,Caribbean trumpet-tree,1.9,67.59,8.7,0.58,9.1,0.60,0.0,0.00,,,0.0,0.00,,0.61
25,1,Manila,7.1,488.87,54.5,3.62,5.0,0.33,0.0,0.00,,,0.1,0.01,,0.34
25,2,Mango,48.4,"16,290.42","14,117.5",939.15,111.8,7.44,1.2,0.01,43.7,2.91,7.2,0.90,22.56,33.81
25,3,Fig spp,7.9,769.97,197.3,13.12,20.0,1.33,0.0,0.00,,,0.0,0.00,,1.33
26,1,Haitian catalpa,5.6,428.11,109.7,7.30,36.0,2.39,0.2,0.00,,,0.9,0.12,,2.51
26,2,Fig spp,5.8,188.68,95.1,6.33,5.7,0.38,0.1,0.00,,,0.4,0.05,,0.43
26,3,Black olive,1.1,23.41,9.2,0.61,5.7,0.38,0.2,0.00,58.3,3.88,1.0,0.13,27.54,31.92
26,4,Black olive,11.1,"1,118.88",638.1,42.45,103.8,6.91,1.6,0.01,,,9.5,1.18,,8.11
26,5,Haitian catalpa,6.2,192.39,139.0,9.25,16.3,1.08,0.1,0.00,,,0.3,0.04,,1.12
109,1,Shaddock,3.5,150.85,44.9,2.99,10.8,0.72,0.1,0.00,,,0.5,0.06,,0.78
109,2,Puerto rico royal palm,11.5,"1,007.95",254.2,16.91,22.3,1.48,0.4,0.00,191.3,12.72,2.1,0.26,92.89,107.36
109,3,Black olive,6.5,648.36,218.5,14.54,69.4,4.62,0.9,0.01,8.7,0.58,5.1,0.63,6.43,12.26
109,4,Singapore graveyard flower,3.0,115.61,28.6,1.90,5.3,0.36,0.0,0.00,,,0.0,0.00,,0.36
109,5,Manila,2.4,307.48,14.8,0.98,2.1,0.14,0.0,0.00,,,0.1,0.01,,0.15
109,7,Manila,6.0,653.50,48.6,3.23,4.8,0.32,0.0,0.00,,,0.2,0.02,,0.34
109,8,Manila,5.1,531.38,38.4,2.56,7.7,0.51,0.0,0.00,,,0.2,0.03,,0.54
109,9,Guasuiririba,3.5,150.52,47.1,3.13,13.5,0.90,0.0,0.00,,,0.3,0.04,,0.93
109,10,Manila,5.5,511.02,39.6,2.64,4.4,0.29,0.0,0.00,,,0.1,0.02,,0.31
109,11,White lead tree,20.2,"3,729.64","1,754.2",116.70,4.7,0.31,2.4,0.02,277.8,18.48,13.7,1.71,133.52,154.04
109,12,Shaddock,2.8,95.98,26.9,1.79,10.5,0.70,0.1,0.00,,,0.3,0.04,,0.74

