ScientificName,CommonNameEnglish,AlphaCode,CommonNameSpanish,OccurenceStatus,ForagingSubGuildEnglish,ForagingGuildEnglish,ForagingSubGuildSpanish,ForagingGuildSpanish
Regulus calendula,Ruby-crowned Kinglet,RCKI,Reyezuelo,V,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Egretta rufescens,Reddish Egret,REEG,Garza Rojiza,"R, M",Pisc-Carn,Piscivore,Pisc-Carn,Piscívoro
Gallus gallus,Red Junglefowl,REJU,Gallo y Gallina,I,Omnivore,Omnivore,Omnívoro,Omnívoro
Vireo olivaceus,Red-eyed Vireo,REVI,,,,,,
Agapornis roseicollis,Rosy-faced Lovebird,RFLO,,,,,,
Turdus plumbeus,Red-legged Thrush,RLTH,Chuá-Chuá,R,Omnivore,Omnivore,Omnívoro,Omnívoro
Buteo jamaicensis,Red-tailed Hawk,RTHA,Guaraguao,R,Carnivore,Carnivore,Carnívoro,Carnívoro
Columba livia,Rock Pigeon,ROPI,"Paloma Doméstica, Paloma Bravía",I,Gran-Frug,Granivore,Gran-Frug,Granívoro
Platalea ajaja,Roseate Spoonbill,ROSP,Cuchareta,R,Filter-feeder,Filter-feeder,Filtrador,Filtrador
Sterna dougallii,Roseate Tern,ROST,Charrán Rosado,M,Pisc-Invert,Piscivore,Pisc-Invert,Piscívoro
Thalasseus maximus,Royal Tern,ROYT,Charrán Real,"R, M",Carnivore,Carnivore,Carnívoro,Carnívoro
Myadestes genibarbis,Rufous-throated Solitaire,RTSO,Jilgero,R,Frug-Invert,Frugivore,Frug-Invert,Frugívoro
Geotrygon montana,Ruddy Quail-Dove,RUQD,Perdiz,R,Gran-Frug,Granivore,Gran-Frug,Granívoro
Arenaria interpres,Ruddy Turnstone,RUTU,Playero Turco,M,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Calidris alba,Sanderling,SAND,Playerito Blanquito,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Thalasseus sandvicensis,Sandwich Tern,SATE,Charrán Piconegro,"R, M",Pisc-Invert,Piscivore,Pisc-Invert,Piscívoro
Crotophaga ani,Smooth-billed Ani,SBAN,Judío,R,Invert-glean,Invertivore,Invert-busc,Invertívoro
Limnodromus griseus,Short-billed Dowitcher,SBDO,Agujeta Piquicorta,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Lonchura punctulata,Scaly-breasted Munia,SBMU,Cigüita Come Arroz,I,Herb-Gran,Herbivore,Herb-Gran,Herbívoro
Cacatua galerita,Sulphur-crested Cockatoo,SCCO,,,,,,
Asio flammeus,Short-eared Owl,SEOW,Lechuza de Sabana,"R, M",Carnivore,Carnivore,Carnívoro,Carnívoro
Charadrius semipalmatus,Semipalmated Plover,SEPL,Chorlito Semipalmado,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Calidris pusilla,Semipalmated Sandpiper,SESA,Playerito Semipalmado,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Molothrus bonariensis,Shiny Cowbird,SHCO,"Pájaro Vaquero, ",R,Invert-Gran,Invertivore,Invert-Gran,Invertívoro
Egretta thula,Snowy Egret,SNEG,Garza de Rizos,"R, M",Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Patagioenas squamosa,Scaly-naped Pigeon,SNPI,Paloma Torcaza,R,Gran-Frug,Frugivore,Gran-Frug,Frugívoro
Charadrius nivosus,Snowy Plover,SNPL,Chorlito Niveo,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Tringa solitaria,Solitary Sandpiper,SOSA,Playero Solitario,M,Invert-Carn,Invertivore,Invert-Carn,Invertívoro
Onychoprion fuscatus,Sooty Tern,SOTE,Charrán Oscuro,"R, M",Piscivore,Piscivore,Piscívoro,Piscívoro
Actitis macularius,Spotted Sandpiper,SPSA,Playerito Manchado,M,Invert-glean,Invertivore,Invert-busc,Invertívoro
Accipiter striatus,Sharp-shinned Hawk,SSHA,Guaraguaíto de Sierra,R,Carnivore,Carnivore,Carnívoro,Carnívoro
Myiarchus stolidus,Stolid Flycatcher,STOF,Manuelito,E,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Asio stygius,Stygian Owl,STOW,"Cicuapa, Lechuza Orejita",R,Carnivore,Carnivore,Carnívoro,Carnívoro
Calidris himantopus,Stilt Sandpiper,STSA,Playero Zancudo,M,Invert-Gran,Invertivore,Invert-Gran,Invertívoro
Tachycineta bicolor,Tree Swallow,TRES,Golondrina de Árboles,M,Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Egretta tricolor,Tricolored Heron,TRHE,"Garza Pechiblanco, Garza Tricolor","R, M",Pisc-Carn,Piscivore,Pisc-Carn,Piscívoro
Cathartes aura,Turkey Vulture,TUVU,,,,,,
Empidonax (sp),Unidentified Empidonax,UNEM,,,,,,
Mellisuga minima,Vervain Hummingbird,VEHU,Zumbadorcito,E,Nectar-Invert,Nectarivore,Nectar-Invert,Nectarívoro
Ploceus cucullatus,Village Weaver,VIWE,"Madam Sagá, Chichiguao",I,Gran-Herb,Granivore,Gran-Herb,Granívoro
Patagioenas leucocephala,White-crowned Pigeon,WCPI,Paloma Coronita,"R, M",Frug-Herb,Frugivore,Frug-Herb,Frugívoro
Streptoprocne zonaris,White-collared Swift,WCSW,Vencejo de Collar,"R, M",Invert-aerial,Invertivore,Invert-aerio,Invertívoro
Calyptophilus tertius,Western Chat-Tanager,WECT,Chirrí de Bahoruco,E,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
Calidris mauri,Western Sandpiper,WESA,Playero Occidental,M,Invertivore,Invertivore,Invertívoro,Invertívoro
Vireo griseus,White-eyed Vireo,WEVI,Vireo de Ojo Blanco,M ,Invert-Frug,Invertivore,Invert-Frug,Invertívoro
